Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
200,1744141972534,4056,4056,4056,4056,4056,4056,4056,4056,98.80320739746094,101.78861236572266,101.71373748779297,107.04167175292969,100.11131286621094,105.63356018066406,103.51875305175781,103.89009094238281,100.58049011230469,104.96192932128906,106.06318664550781,99.40221405029297,105.0716323852539,106.14274597167969,31.57894515991211,25,15.789472579956055,20,100,95,95,100,38.06507110595703,17179869184,5368709120,13665533952,4706271232
204,1744141972735,4056,4056,4056,4056,4056,4056,4056,4056,98.80320739746094,101.78861236572266,101.71373748779297,107.04167175292969,100.11131286621094,105.63356018066406,103.51875305175781,103.89009094238281,100.58049011230469,104.96192932128906,106.06318664550781,99.40221405029297,105.0716323852539,106.14274597167969,26.3157901763916,25,20,15.000000953674316,95.23809814453125,100,95,95,38.06507110595703,17179869184,5368709120,13664665600,4816240640
204,1744141972940,4056,4056,4056,4056,4056,4056,4056,4056,99.54199981689453,102.78318786621094,102.60264587402344,107.74860382080078,101.06647491455078,106.43895721435547,104.20643615722656,104.61844635009766,101.3934097290039,105.88224792480469,106.96290588378906,100.49785614013672,105.9000473022461,106.97724151611328,45,26.3157901763916,20,20,94.73684692382813,95,100,95.23809814453125,38.06507110595703,17179869184,5368709120,13664665600,4990238720
204,1744141973145,4056,4056,4056,4056,4056,4056,4056,4056,99.54199981689453,102.78318786621094,102.60264587402344,107.74860382080078,101.06647491455078,106.43895721435547,104.20643615722656,104.61844635009766,101.3934097290039,105.88224792480469,106.96290588378906,100.49785614013672,105.9000473022461,106.97724151611328,25,28.571430206298828,23.809524536132813,15.000000953674316,95.23809814453125,95.23809814453125,95,95,38.06507110595703,17179869184,5368709120,13677494272,5093130240
199,1744141973352,4056,4056,4056,4056,4056,4056,4056,4056,99.54199981689453,102.78318786621094,102.60264587402344,107.74860382080078,101.06647491455078,106.43895721435547,104.20643615722656,104.61844635009766,101.3934097290039,105.88224792480469,106.96290588378906,100.49785614013672,105.9000473022461,106.97724151611328,33.333335876464844,10.526315689086914,10,14.285715103149414,100,100,95.23809814453125,95.23809814453125,38.683189392089844,17179869184,6442450944,13683441664,5229051904
204,1744141973552,4056,4056,4056,4056,4056,4056,4056,4056,99.54199981689453,102.78318786621094,102.60264587402344,107.74860382080078,101.06647491455078,106.43895721435547,104.20643615722656,104.61844635009766,101.3934097290039,105.88224792480469,106.96290588378906,100.49785614013672,105.9000473022461,106.97724151611328,33.333335876464844,25,20,25,95,94.73684692382813,95,100,38.683189392089844,17179869184,6442450944,13643792384,5398069248
204,1744141973757,4056,4056,4056,4056,4056,4056,4056,4056,99.54199981689453,102.78318786621094,102.60264587402344,107.74860382080078,101.06647491455078,106.43895721435547,104.20643615722656,104.61844635009766,101.3934097290039,105.88224792480469,106.96290588378906,100.49785614013672,105.9000473022461,106.97724151611328,23.809524536132813,23.809524536132813,10,10,95.23809814453125,100,95,95.23809814453125,38.683189392089844,17179869184,6442450944,13643792384,5517082624
199,1744141973961,4056,4056,4056,4056,4056,4056,4056,4056,100.19417572021484,103.15044403076172,102.91796112060547,108.02195739746094,101.46538543701172,106.81206512451172,104.65200805664063,104.96574401855469,101.92279815673828,106.26716613769531,107.35244750976563,100.85128021240234,106.08177947998047,107.1302261352539,36.842105865478516,31.57894515991211,33.333335876464844,28.571430206298828,90,95,90,95,38.683189392089844,17179869184,6442450944,13643792384,5697110016
204,1744141974161,4056,4056,4056,4056,4056,4056,4056,4056,100.19417572021484,103.15044403076172,102.91796112060547,108.02195739746094,101.46538543701172,106.81206512451172,104.65200805664063,104.96574401855469,101.92279815673828,106.26716613769531,107.35244750976563,100.85128021240234,106.08177947998047,107.1302261352539,26.3157901763916,20,11.111111640930176,19.047618865966797,100,95.45454406738281,100,95,38.683189392089844,17179869184,6442450944,13632946176,5839912960
204,1744141974366,4056,4056,4056,4056,4056,4056,4056,4056,100.19417572021484,103.15044403076172,102.91796112060547,108.02195739746094,101.46538543701172,106.81206512451172,104.65200805664063,104.96574401855469,101.92279815673828,106.26716613769531,107.35244750976563,100.85128021240234,106.08177947998047,107.1302261352539,42.85714340209961,35,30.000001907348633,21.052631378173828,95,94.73684692382813,90.47618865966797,94.73684692382813,39.15965270996094,17179869184,6442450944,13601734656,6142427136
204,1744141974571,4056,4056,4056,4056,4056,4056,4056,4056,100.19417572021484,103.15044403076172,102.91796112060547,108.02195739746094,101.46538543701172,106.81206512451172,104.65200805664063,104.96574401855469,101.92279815673828,106.26716613769531,107.35244750976563,100.85128021240234,106.08177947998047,107.1302261352539,19.047618865966797,10.526315689086914,9.523809432983398,4.761904716491699,100,100,100,95.23809814453125,39.15965270996094,17179869184,6442450944,13574701056,6170673152
204,1744141974776,4056,4056,4056,4056,4056,4056,4056,4056,100.19417572021484,103.15044403076172,102.91796112060547,108.02195739746094,101.46538543701172,106.81206512451172,104.65200805664063,104.96574401855469,101.92279815673828,106.26716613769531,107.35244750976563,100.85128021240234,106.08177947998047,107.1302261352539,15.000000953674316,10,9.090909004211426,0,100,100,95.45454406738281,100,39.15965270996094,17179869184,6442450944,13577322496,6170673152
204,1744141974980,4056,4056,4056,4056,4056,4056,4056,4056,100.50071716308594,103.4699478149414,103.39220428466797,108.05782318115234,102.06901550292969,107.03780364990234,104.73976135253906,104.90921020507813,102.1386947631836,106.35950469970703,107.2066421508789,101.33293151855469,106.39030456542969,107.23353576660156,15.789472579956055,18.18181800842285,5.263157844543457,5,95.23809814453125,100,100,100,39.15965270996094,17179869184,6442450944,13577322496,6170673152
200,1744141975186,4056,4056,4056,4056,4056,4056,4056,4056,100.50071716308594,103.4699478149414,103.39220428466797,108.05782318115234,102.06901550292969,107.03780364990234,104.73976135253906,104.90921020507813,102.1386947631836,106.35950469970703,107.2066421508789,101.33293151855469,106.39030456542969,107.23353576660156,20,10,4.761904716491699,4.761904716491699,100,95.23809814453125,100,95.23809814453125,39.15965270996094,17179869184,6442450944,13579665408,6170673152
200,1744141975386,4056,4056,4056,4056,4056,4056,4056,4056,100.50071716308594,103.4699478149414,103.39220428466797,108.05782318115234,102.06901550292969,107.03780364990234,104.73976135253906,104.90921020507813,102.1386947631836,106.35950469970703,107.2066421508789,101.33293151855469,106.39030456542969,107.23353576660156,15.000000953674316,10,0,0,100,100,95.23809814453125,100,38.332176208496094,17179869184,6442450944,13579812864,6170673152
204,1744141975587,4056,4056,4056,4056,4056,4056,4056,4056,100.50071716308594,103.4699478149414,103.39220428466797,108.05782318115234,102.06901550292969,107.03780364990234,104.73976135253906,104.90921020507813,102.1386947631836,106.35950469970703,107.2066421508789,101.33293151855469,106.39030456542969,107.23353576660156,23.809524536132813,15.000000953674316,14.285715103149414,9.523809432983398,100,100,100,100,38.332176208496094,17179869184,6442450944,13574471680,6170673152
204,1744141975792,4056,4056,4056,4056,4056,4056,4056,4056,100.50071716308594,103.4699478149414,103.39220428466797,108.05782318115234,102.06901550292969,107.03780364990234,104.73976135253906,104.90921020507813,102.1386947631836,106.35950469970703,107.2066421508789,101.33293151855469,106.39030456542969,107.23353576660156,15.789472579956055,10.526315689086914,5,4.761904716491699,95.23809814453125,100,95,100,38.332176208496094,17179869184,6442450944,13568360448,6170673152
199,1744141975997,4056,4056,4056,4056,4056,4056,4056,4056,101.18073272705078,103.93994903564453,104.18296813964844,108.78094482421875,102.9363021850586,107.7462158203125,105.25946044921875,105.369140625,102.75198364257813,106.74767303466797,107.52648162841797,101.8870849609375,107.13624572753906,107.8754653930664,19.047618865966797,14.285715103149414,10,0,100,95.23809814453125,100,95.23809814453125,38.332176208496094,17179869184,6442450944,13571653632,6170673152
204,1744141976197,4056,4056,4056,4056,4056,4056,4056,4056,101.18073272705078,103.93994903564453,104.18296813964844,108.78094482421875,102.9363021850586,107.7462158203125,105.25946044921875,105.369140625,102.75198364257813,106.74767303466797,107.52648162841797,101.8870849609375,107.13624572753906,107.8754653930664,15.000000953674316,10,5,0,100,100,100,100,38.332176208496094,17179869184,6442450944,13571702784,6170673152
